,Unnamed: 0,Unnamed: 0.1,Pr,Issue,Consumer complaint narrative,Company,State,sentimentValue
854,854,854,Credit card,Late fee,"On XXXX XXXX, 2014, I made a payment for {$100.00} to Capital One Credit Card. After completing my payment I obtained a confirmation number XXXX. A XXXX later I get a late fee and higher minimum payment in my Capital One credit card statement. I contacted Capital One and spoke with representative ID XXXX and he apologized in behalf of Capital one and removed the late fee and fixed the issue of the bill statement. He also stated that this issue was not going to be reported in the credit bureau as it was a clerical error done by Capital One. However, I pulled my credit reports and Capital One has entered a late payment of XXXX days in all of the credit bureaus. I have called and I have sent XXXX letters to them so they correct the wrongful entry in the credit reports, but they continue to respond that I was late and that I did not make the payment. I have the confirmation number and the ID of the representative that I spoke with a month after. This is totally unfair practice and bad faith it should be corrected. 
",Capital One,FL,-0.227777777778
920,920,920,Debt collection,Disclosure verification of debt,"My credit card was transferred to a collection agency a month after I filed bankruptcy. The payment was n't even 30 days late yet. 
And is now reflecting as a collection account on my credit report. 
",Capital One,CA,-0.3
956,956,956,Credit card,Late fee,"I had a credit card with Orchard Bank. Orchard Bank was bought by Capitol One. When the billing moved over to Capitol One my automatic payments were stopped and resulted in missed payments. When I noticed I called Capitol One to find out what happened. They could not give a reason why they were stopped. They agreed to refunding all the late fees that were charged and apologized for the error. I have attached a copy of the statement showing the refund. I have asked them many times to remove the late payments from my credit report and they just send a letter saying they are reporting correctly. As soon as I noticed that the payments were not getting applied to my acct I immediately called and paid the past due balance as well as set up the new automatic billing. The late payments are greatly effecting my credit. This was no fault of my own. I never had a late payment with Orchard Bank, and have not had XXXX late payment with Capitol One sense I discovered this issue. 
",Capital One,MN,0.0146694214876
979,979,979,Mortgage,"Application, originator, mortgage broker","Capital One has XXXX me once again. This would be the XXXX time I have complained about their total lack of customer service and lack of communication, and more importantly erroneous information. 

I asked to see if I could do a rate renewal which was told to me by one customer service agent, then told that I could not by several others. After days/weeks on the phone trying to resolve the issue with Mortgage Escalation Dept, I was told that I would be getting the paperwork in the mail, yet did n't get it. I was never given what the rate would be and after the XXXX phone call in the last two days, was told that my rate was going to be higher than what I 'm paying now. I ca n't believe the problems and horrible service at Capital One!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! XXXX 
",Capital One,GA,-0.13125
1047,1047,1047,Bank account or service,Deposits and withdrawals,"I XXXX XXXX HAD {$1500.00} DOLLARS TAKEN FROM MY SON ACCOUNT BY CAPITAL ONE BANK LOCATED AT XXXX XXXX XXXX, VA XXXX THE BANK CHARGED MY ACCOUNT MONEY THAT SHOULD HAVE NOT BEEN TAKEN OUT DEBTING MY SONS ACCOUNT, I WOULD LIKE MY SON MONEY PUT BACK INTO HIS ACCOUNT PLEASE THIS BANK IS A RIPP OFF CHARGING UNREASONABL FEES,XXXX THE MONEY WAS TAKEN FROM ACCOUNT # XXXX MY SONS ACCOUNT FOR SUPPOSELY ACCOUNT XXXX THE AMOUNT TAKEN WAS {$1500.00} PLEASE HAVE PUT MY SONS MONEY BACK PLEASE. 
",Capital One,NJ,0.0
1064,1064,1064,Credit card,Billing disputes,"On or about XXXX my capital one credit card was charged XXXX for lodging that took place somewhere in the USA. I was not in XXXX during this time period ; & provided capital one proof of my time out of the country. My proof included a copy of my passport stamp from that time period, which showed that I was in XXXX during this transaction. 
Capital one gave a temporary credit & subsequently reversed the credit on XXXX. Capital one still has not resolved this issue. I would like your help in resolving this issuethanksXXXX XXXX 
",Capital One,GA,0.0
1074,1074,1074,Debt collection,Disclosure verification of debt,"I recently had repossession of my vehicle, The vehicle was under mine and my wife 's name. I went through a divorce. Never spoke to her. She had the car for 2 years without making a payment..capital one never contacted me ..until a a couple of months ago. When the repo man came to the door.. he was looking for the truck and told him my ex wife has the truck. I ended up getting the truck back and called capital one and told them what had happened. The rep said that if I can pay on it for 12 months that I would get the title and the car paid off. I was happy to work out the plan because it seemed very nice for them to work with me and understood my situation. After paying on the car for 4 months on time..they repo ed the car and told me that I would need to pay the whole balance to get the car back ... I think this was hugely miscommunication with me.. now I have a repossion on my My credit report. And trying to buy another car is very tough. I felt I was done very wrong and violated numerous laws.. please help! Thanks 
",Capital One,LA,0.111313131313
1097,1097,1097,Credit card,APR or interest rate,"I currently have a Menards card through Capitol One. They are constantly charging me 24.99 % APR interest. They say this is supposed to be variable compared to the national average. How could I ever have a chance at paying this account off at that rate? 
",Capital One,IA,-0.05
1122,1122,1122,Credit card,Credit determination,"I applied for a Capital One Venture Card. The disclosure notice stated that the Annual Percentage Rates ( APR ) are 12.9 %, 17.9 % or 22.9 % depending on one 's credit worthiness. I was surprised that I was assigned the 17.9 % APR upon approval and after Capital One ran my credit through XXXX. I had a recent XXXX credit score of XXXX, generally considered excellent. After seeing the rate Capital One provided me I immediately ran a credit check through Experian and I found no potential negatives on my credit report with all accounts are in good standing. I XXXX attempted to inquire with Capital One as to why I would not receive the better rate, and they said that I had agreed to the terms offered, that I should read the terms and they could not provide me any further assistance. In fact, I believe their application provides a range of APR 's until the applicant submits the application and then the applicant discovers what rate Capital One has granted the applicant. It is quite possible that Capital One has a standard that I did not reach with regard to credit worthiness. Unfortunately, I can not help but wonder who does qualify for the lower rate they advertise. With excellent credit, I would like to know why I did not qualify for the lower rate. If Capital One has a very narrow qualifying criteria for the lower rate, they should disclose what score is necessary to obtain the low rate or not advertise the lower rate. Generally, I believe Capital One should also be more transparent and forthcoming with what their standards are for interest rates for applicants. 
",Capital One,OR,0.184705882353
1124,1124,1124,Mortgage,"Loan servicing, payments, escrow account","I applied for a mortgage modification with Capital One. The modification was granted. During the trial period I made all payments as agreed. The company reported me 30 days late for 3 months during the "" trial period '' even though none of my payments were late. I have gotten other modifications and no other bank reported me as 30 days late during the trial period. This is horribly unfair as obviously I have been having some financial difficulties. But I complied exactly to their requested payment. My credit score dropped XXXX points and this effect will go on for years. Punishing me for the modification. 
",Capital One,CA,-0.134722222222
1125,1125,1125,Credit card,Other,"I have been sent a pre-approved credit card application from XXXX XXXX, XXXX XXXX. XXXX, UT XXXXXXXXI am registered on XXXXXXXXI would like to know where Capital One got my credit information? And my name removed from Capital One contact list 
",Capital One,MI,0.0
1237,1237,1237,Credit card,Customer service / Customer relations,"We have here capital one representatives that ca n't do a simple job correctly period. They misinformed me over getting cash instead of making purchases for an extreme emergency situation. These people over at the phillipeens need to be instructed correctly and listen period. 
",Capital One,PA,-0.0625
1267,1267,1267,Bank account or service,Deposits and withdrawals,"Capitalone 360 did not honor a check they say they would honor as a XXXX time couresty. 
",Capital One,PA,0.0
1312,1312,1312,Credit card,Delinquent account,"Payments were posted to the same billing cycle ( month of XXXX ) and not applied to the correct month resulting in past due status on the account. I noticed the recent statement had a larger payment due than normal and indicated the account was past due. I called Capitol one and they said they received and posted a payment before the XXXX day of the month the payment was due therefore they were applied to the previous months cycle and caused the account to become past due. A 30 day late on my credit report is reported on the account, it has dropped my score XXXX pts from a XXXX to XXXX. Requesting Capitol one to send me a letter indicating that they will remove the 30 day late at the bureau level with XXXX XXXX XXXX so i can remove and get the account updated and repair the damage done to my credit report. 
",Capital One,CA,-0.132777777778
1390,1390,1390,Debt collection,Improper contact or sharing of info,"XXXX XXXX XXXX are collecting an alleged debt for Capital One Bank and continue to contact me at my place of employment ( also a law office ), leaving recorded messages, voice mails on my employer 's phone and it is an automated call. I have written, faxed and e-mailed XXXX XXXX, provided them videos of the recorded calls and voice mails, and photographs of the caller I.D . at the law office where I work together with an Exhibit listing the dates and times of the ongoing calls and they still will not discontinue the calls. I have been verbally warned by my employer not to continue receiving "" personal '' calls at the office and am in fear of losing my job!! 

Because I can not seem to get anywhere with XXXX XXXX directly, this is my next line of action. 

I have also provided XXXX XXXX with an Affidavit showing that the Capital One card for which they are trying to collect was never in my possession and was likely stolen along with my vehicle a couple of years ago as that was around the same time that whoever stole the car also started using the credit card. I have disputed owing the debt but doing so is like talking to a brick wall. They do not seem to "" follow the rules '' when it comes to debt collection practices. 
",Capital One,LA,0.0142857142857
1439,1439,1439,Bank account or service,Deposits and withdrawals,"I have a stock trading account at XXXX which is owned by Capitol One. On XXXX/XXXX/15 I requested a transfer of settled funds from XXXX account to my Capitol One savings account. The transfer was not made until XXXX/XXXX/15 at XXXX EDT. 
But as of XXXX CDT the funds still had not shown up in my Captiol One savings account. Since both are owned by Capitol One and these are electronic transfers the failure to properly credit the savings account is not correct. In addition, Capitol One puts a ten day hold on these funds being transferred from my savings account to other non Capitol One accounts. This is an unconscionable use of my funds. 
",Capital One,MO,-0.110416666667
1491,1491,1491,Credit card,Closing/Cancelling account,"I opened a secured credit card with Orchard Bank, and deposited {$500.00} in doing so. The account was later consolidated into HSBC and then again into Capital One. I closed the account today and spoke with a representative afterwards to request return of the {$500.00} security deposit. I was told they show the account as unsecured and that the funds should have been returned to me prior. I was then told to call some other number ( turned out to be a voicemail for lady at a small community bank, with no apparent connection ). I am seeking help for the return of my {$500.00} security deposit. 
",Capital One,IL,-0.0833333333333
1544,1544,1544,Credit card,Credit card protection / Debt protection,"I ordered a Supplement thru a company called XXXX that was offering a vitamin for {$5.00} trial time. I ordered the supplement using my Capital One Card. The next month I saw a charge for XXXX on my card and hit the roof. I called Capital One and told them I did not authorize this charge. They cancelled the card and sent me another one, with a new account number. Next month I saw another charge for the same amount. I hit the roof and called and capital One again complaining. I asked how they received my new card number and charged my account without my authorization. Capital one told me "" XXXX Has An Agreement With MasterCard to Allow Them To Do This '' I told them I wanted the account suspended and no more charges to be authorized on it. I was hung up and then placed on hold for 2 1/2 hours for asking to speak with a manager. After, getting even more angry. They have added another charge for the same thing this month of over XXXX. It was called a chargeback.",Capital One,NC,0.00252525252525
